Subs,cancellation_date
495803,4/1/16
495806,3/8/16
495810,NULL
495877,NULL
495888,NULL
495914,NULL
495956,NULL
495958,NULL
495963,NULL
495980,NULL
496014,NULL
496053,4/11/16
496058,NULL
496074,NULL
496133,NULL
496141,NULL
496155,NULL
496184,NULL
496198,NULL
496220,NULL
496226,NULL
496227,NULL
496259,3/3/16
496294,NULL
496299,NULL
496331,NULL
496343,NULL
496355,NULL
496370,NULL
496436,NULL
496447,NULL
496451,NULL
496454,NULL
496464,NULL
496468,NULL
496512,NULL
496582,NULL
496587,NULL
496630,3/9/16
496635,NULL
496650,NULL
496657,NULL
496666,3/5/16
496680,NULL
496687,NULL
496717,NULL
496724,NULL
496760,NULL
496764,NULL
496775,NULL
496779,NULL
496795,NULL
496814,4/1/16
496816,4/10/16
496828,NULL
496833,NULL
496862,NULL
496865,NULL
496877,NULL
496909,NULL
496911,NULL
496916,NULL
497001,NULL
497003,NULL
497009,3/12/16
497017,4/2/16
497030,NULL
497040,NULL
497062,NULL
497081,NULL
497097,NULL
497104,NULL
497112,NULL
497122,NULL
497126,NULL
497153,NULL
497165,NULL
497171,NULL
497183,NULL
497208,NULL
497237,NULL
497250,NULL
497252,NULL
497261,NULL
497370,3/7/16
497401,NULL
497463,NULL
497468,NULL
497497,NULL
497515,NULL
497534,NULL
497543,NULL
497552,NULL
497564,NULL
497598,NULL
497613,NULL
497630,NULL
497723,NULL
497881,NULL
497885,NULL
497893,NULL
497923,NULL
497925,NULL
497942,NULL
498015,NULL
498037,NULL
498068,NULL
498105,3/28/16
498172,NULL
498176,NULL
498183,NULL
498187,NULL
498227,NULL
498241,NULL
498253,NULL
498263,NULL
498299,3/12/16
498306,NULL
498329,NULL
498380,4/2/16
498399,NULL
498419,NULL
498471,NULL
498487,NULL
498534,NULL
498546,NULL
498554,NULL
498566,NULL
498580,NULL
498583,NULL
498590,NULL
498641,NULL
498666,NULL
498693,NULL
498704,NULL
498712,NULL
498744,NULL
498764,NULL
498780,NULL
498802,NULL
498838,NULL
498860,NULL
498881,NULL
498890,NULL
498895,NULL
498898,NULL
498901,4/1/16
498909,NULL
498910,NULL
498908,4/5/16
498918,NULL
498929,NULL
498960,NULL
498991,NULL
498999,NULL
499011,NULL
499033,NULL
499039,NULL
499043,NULL
499045,NULL
499056,NULL
499078,NULL
499094,NULL
499102,NULL
499146,NULL
499170,NULL
499199,NULL
